mol_id,smiles
150,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO
151,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4([C@H](C[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)O)C)C)CO
152,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4([C@H](C[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)O)C)C)C
153,C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@@H](CO)O)O
154,COC1=C(C=C(C=C1)[C@H](C=C)C2=CC(=O)C(=CC2=O)OC)O
155,COC1=CC(=O)C(=CC1=O)C(C=C)C2=CC=CC=C2
156,CCCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
157,CC[C@@]12CCCN3CC[C@]4([C@@]23[H])C(CC1)=NC5=C4C=CC=C5
158,O=C(O1)C[C@]2(C3(COC(/C=C/C4=CC=CC=C4)=O)C(OC)=O)[C@@]1([C@]5([H])C[C@H]3[C@@]6(C(O6)C)CN5C)NC7=CC=C(O)C=C72
159,C/C=C1CN2[C@H]3C[C@H]/1[C@@H](CO)[C@@H]2CC4=C3N(C)C5=CC=C(OC)C=C45
160,CC[C@]12CCC3=C(C4=CC=CC(OC)=C4N3)CCN(C[C@@H]5[C@H]2O5)C1
161,CC[C@@]12C=CCN3[C@]1([H])C4=C(C5=C(C=CC=C5)N4[C@](C(OC)=O)(O)C2)CC3
162,CC[C@@]12C=CCN3[C@]1([H])C4=C(C5=C(C=C(OC)C=C5)N4[C@](C(OC)=O)(O)C2)CC3
163,CC[C@@]12C=CCN3[C@]1([H])C4=C(C5=C(C=CC=C5)N4[C@@](C(OC)=O)(O)C2)CC3
164,CN1[C@@]([C@]2([H])C(OC)=O)([H])CC3=C(C(CC2[C@H](CC)C1)=O)NC4=CC=CC=C43
165,C/C=C1CN(C)[C@@H]2CC(C3=CC=CC=C3N4C)=C4C(C[C@@H]/1[C@H]2C(OC)=O)=O
166,C/C=C1CN[C@@H]2CC(C3=CC=CC=C3N4)=C4C(C[C@@H]/1[C@H]2C(OC)=O)=O
167,C/C=C1CN(C)[C@@H]2CC(C3=CC=CC=C3N4)=C4C(C[C@@H]/1[C@H]2C(OC)=O)=O
168,CC[C@]12C3CC4[C@]5(C1[C@@H](C3CO4)C(N2)C)C6=CC=CC=C6NC5=O
169,CC[C@H]1CN(C)C[C@]2(C(OC)=O)[C@H]1CC(C3=C(C4=CC=CC=C4N3)C2)=O
170,CN1C(C2C(OC)=O)CC3=C([C@](C4=CC5=C(NC6=C5CC[N@](C7)[C@@]8([H])[C@]6(C(OC)=O)C[C@@]7([H])C[C@H]8CC)C=C4OC)(O)CC2[C@H](CC)C1)NC9=C3C=CC=C9
171,CC[C@]1(CCC2=O)CCCN3C(C=C4C5=CC=CC=C5N2C413)=O
172,CN1C[C@@]2([H])C(C3=C(C(C[C@@]2([H])[C@@H](CC)C1)=O)NC4=CC=CC=C43)=O
173,CC1=C2C=CN=CC2=C(C)C3=C1NC4=CC=CC(OC)=C43
174,C[C@@]1([H])[C@]2([H])CN3CCC4(OC(C)=O)C5=CC(OC)=C(OC)C=C5N=C4[C@@]3([H])C[C@]2([H])C(C(OC)=O)=CO1
175,COC([C@@]12CC3C[C@@H](C1[N@@](CCC4=C2NC5=C4C=C(OC)C=C5)C3)[C@H](OC(C)=O)C)=O
176,CCC1=C[N+]2=C(C=C1C3=CN4[C@H]5[C@@H]([C@H]3O)[C@H]\6C[C@H]7[C@@]5(CC[N+]7(C/C6=C\C)C)C8=CC=CC=C84)C9=C(CC2)C1=CC=CC=C1N9
177,CN1[C@@]2([H])CC(C3=CC=CC=C3N4C)=C4[C@]1([H])C[C@]5([H])[C@@]2([H])COC5=O
178,C/C=C1C(OC[C@@]([C@@]/1([H])C2)([H])[C@@](C3)([H])N[C@]2([H])C4=C3C5=CC=CC=C5N4C)=O
179,CC(C1=COC[C@]2([H])[C@@]1([H])C[C@@]3([H])C4=C(C5=CC=CC=C5N4C)C[C@]2([H])N3C)=O
180,C[C@H]1[C@@H]2CN3C=CC4=C5C=CC=CC5=NC4=C3C[C@@H]2C(=CO1)C(=O)OC
181,O=C(C1=CO[C@@H](C)[C@@]2([H])C[N+](C=C(CCC(OC)=O)C3=C4NC5=C3C=CC=C5)=C4C[C@@]21[H])OC
